id,message,created_time,comments_count,shares_count,likes,love_count,haha_count,wow_count,sad_count,angry_count
,官員透露，蔡英文對失控狀況非常不悅，詢問為何會發生此事？為何陳抗民眾能衝到選手入口？當天竟還有人在機場和選手村騷擾選手？為何每次簡報都說沒問題，卻一再出狀況？,8月23日?,153,73,1913,18,7,33,3,48
,《 反年改指遭「汙名化」 怒批教育部為何改考場！ 》,5月2日,125,76,472,2,51,11,5,213
,教團不滿「陳情卻被當恐攻」,7月12日?,135,94,427,5,113,20,11,259
,各位如何看這次的事件呢？,8月20日,315,74,859,12,125,23,9,132
,反年改教師：「我怎麼能夠用每月3萬5千台幣，去撫養我的老母親和我的姪子。」,8月25日,136,21,584,3,70,13,5,317
,現在不是該團結讓世界看見台灣的時候嗎,8月20日,480,260,3356,16,665,27,13,331
,場面真的很緊張,7月20日?,98,75,1466,9,173,41,7,26
,抓到了! 要讓大家知道真相!! 別讓反年改背黑鍋!,8月23日,86,156,1770,4,12,62,5,83
,原來是你啊???結果變成反年改團體背黑鍋,8月21日,102,267,1304,3,36,98,13,437
,"看看吧！
菜陰魂根本不會差小我們軍公教！",7月2日,68,50,977,6,87,12,5,173
,"有沒有搞錯
這就是政府保護手無寸鐵的人民的方式？
都已經合法申請路權 是警方先放車不對在先吧？",11月13日,43,35,932,5,8,10,60,188
,< 獨家>？<會戰>？而且退將還<明確宣示將反年改當成戰爭處理>！,7月17日,112,53,1151,5,198,30,9,132
,高雄市警局及保五總隊上千警力維安，擴大管制區域，將展覽館周邊大規模管制區域，蔡總統在高雄展覽館門口下車，距離民眾意見表達區至少300多公尺遠，一位民眾說:「管制距離那麼遠，就算叫標槍選手來丟也丟不到！」,7月13日,134,82,492,5,150,29,17,217
,小英怒嗆反年改 作家洛杉基：刮別人鬍子前 先把自己鬍子刮乾淨！　,8月20日,67,111,1237,91,3,2,2,62
,"柯??說反年改的人是
王八蛋
那提出要年改的人是
王八蛋中的王八蛋",8月20日,91,59,1232,122,8,4,0,9
,我們對反年改團體支持到底，絕不退縮, 8月26日,102,61,1452,18,5,1,3,19
,"怎麼不說是妳害的...
什麼都要牽拖到我們身上",8月26日,1031,150,1708,5,597,55,12,804
,台灣電視台不敢播；大陸中央電視台播敢播。,7月9日,87,168,1360,6,188,25,7,107
,#世大運反年改 新進教師的心聲 說出軍公教的無奈,8月20日,177,375,3183,15,44,24,142,38
,中山大學生的心聲！好文一定要分享！,8月20日,101,491,3123,75,45,14,12,16
,走到哪裡都被包圍.....,6月2日,62,31,1159,6,176,16,6,157
,反年改團體鬧場世大運 無選手入場？真相在這裡！根本是被汙衊！反年改丟臉？ 蔡英文早就把台灣的臉丟光了！,8月19日,309,603,3401,15,143,167,22,120
,"視為任勞任怨的警消系統也站出來，批評年金改革違法違憲。台灣警消聯盟喊出護憲法、反亂政、救台灣，反對被汙名化,呼籲現職同仁當天休假、支持他們，也號召退休同仁加入他們的行列，另外也呼籲軍公教勞各界人士加入。。",3月28日,24,39,1030,15,3,5,3,37
,堅持反年改的理念絕不改變，召集人說解散那是他個人的事，理念相同的夥伴們一定要挺住要團結，否則忙了半天蔡英文跟綠蛆們晚上睡覺都會笑我們是一群烏合之眾。,8月28日,89,36,1078,22,14,1,0,0
,遍地開花啦，政府砍年金，我們就要抗議到底,8月19日,221,71,2516,32,97,21,7,48
,警察波麗士大人，你們要搞清楚！你們要逮捕扣押的應該是蔡小姐！不是陳抗者！有犯罪嫌疑犯是蔡小姐！她是年改的違約犯罪人！偷竊退休人員退休金的經濟犯罪首腦！請警察大人當場把蔡嫌疑犯人蔡小姐逮捕認罪吧！趕快放下陳抗者！良民有冤屈才會陳抗！,7月6日,44,38,1162,2,41,17,6,98
,既名為世大運…年改抗爭也是種社會運動 更是民主運動，向世界發聲又有何不對？！,7月18日,278,40,1059,3,209,15,4,149
,蔡主持三軍聯合畢典　反年改抗議標語超麻辣,6月30日,26,72,1546,7,110,7,1,53
,反年改團體意圖衝撞立院 1員警受傷送醫 - Yahoo奇摩,?6月26日,147,115,1679,11,12,36,125,182
,"針對昨天退伍軍人到復興崗抗議蔡英文事件,民進黨立委說:「台灣人吃軟不吃硬，不要因為脫序的抗議事件引起更激烈的改革。」,莊瑞雄說:[以這樣的方式來污衊總統真的是軍人本色嗎？用這樣的方式抗議不但是丟自己的臉，更丟陸軍官校的臉],又說:[以台灣人對總統的尊敬沒有人有辦法忍受]。
這些綠政客是要告訴退伍軍人,只要抗議蔡大總統就[不是台灣人]嗎!這些綠政客滿腦子[意識形態],事事扯[是否為台灣人],如此可笑行徑,我只能說,退伍軍人絕對不會丟官校的臉,更是會堅決捍衛中華民國與自己權益,更是不怕那些綠政客[來硬的],真是可笑丟臉的綠政客發言",7月1日,181,49,1081,5,117,11,8,216
,"為何要抓抗議人士，要依法辦理
太陽花，大腸花抗議都無罪，為何這些為著正義而出聲的人卻要依法辦理
這就是目前的政府",7月6日,352,357,3389,8,103,70,34,1277
," 蔡英文不幹活，
還領百姓薪資，
浪費民脂民膏，
縮頭龜過街鼠。
請各位廣分享，
請多傳播出去。平平0703",7月3日,46,115,1234,5,105,6,2,92
,"反年改進世大運抗議？ 
柯P：你們只會被人吐口水 …",8月15日,84,21,957,5,50,5,1,24
, 法官審理後認為，藉端滋擾是指行為人主觀上有滋擾場所的本意，並以言語、行動等方式，假藉特定事端擴大發揮，逾越社會大眾觀念所能容許的合理範圍才構成。,8月11日,35,62,1145,12,36,3,1,0
,妳說的沒錯，「太陽花: 暴力犯法」和「反年改: 溫和陳抗」，當然不一樣,8月24日,306,46,704,3,167,9,1,245
,"妳才不要臉呢
妳到底何德何能選上立委，還不是靠弟弟",8月20日,910,123,2345,6,394,53,23,743
,退伍軍人權益保障協會強調，他們一直都採取和平理性的態度，也不希望丟台灣的臉,8月19日?,1421,206,2240,13,294,51,38,4134
,反年改嗆聲丟鞋,7月1日,403,105,2715,22,350,72,16,610
,【反公職？　反年改團體批政院教唆「鬥父母」】,5月2日?,171,420,1620,5,31,81,18,589
,閉幕式會抗議嗎？李來希：有可能！,8月26日,480,24,1118,9,129,19,1,483
,到哪邊都被圍堵耶…,7月7日?,536,295,4369,28,798,91,27,524
