created_time,x.count,y.count
2016/10/10,589.2,43.3
2016/10/11,0,384.75
2016/10/12,95.95,62.85
2016/10/13,125.3,12.75
2016/10/14,188.8,445.85
2016/10/15,48.63333333,0
2016/10/16,64.93333333,0
2016/10/17,157.45,40.85
2016/10/18,120.6833333,0
2016/10/19,395.1166667,263.95
2016/10/20,334.82,0
2016/10/21,184.4375,120.3
2016/10/22,224.9333333,0
2016/10/23,204.3,264.7
2016/10/24,383.45,322.95
2016/10/25,10.8,49.7
2016/10/26,167.7,0
2016/10/27,366.6666667,220
2016/10/28,124.175,101.4
2016/10/29,389.7,508.75
2016/10/30,0,1308.3
2016/10/31,324.725,462
2016/11/1,70.975,81.7
2016/11/2,112.2333333,0
2016/11/3,254.3,366.2333333
2016/11/4,65.23333333,10719.15
2016/11/5,174.02,39
2016/11/6,56.77142857,562.6
2016/11/7,180.8833333,5243.05
2016/11/8,393.7875,643.9333333
2016/11/9,130.6125,286.9
2016/11/10,257.2,1209.2
2016/11/11,303.26,2008.4
2016/11/12,327.275,239.175
2016/11/13,477.3142857,1114.566667
2016/11/14,356.175,2926.533333
2016/11/15,719.3833333,2441.375
2016/11/16,806,505.3
2016/11/17,1149.166667,538.3478261
2016/11/18,963.5285714,0
2016/11/19,1109.5,99.95
2016/11/20,5341.86,3704.5
2016/11/21,1355.225,1213.42
2016/11/22,1989.084615,1538.466667
2016/11/23,1638.116667,1259
2016/11/24,1000.536364,564.5833333
2016/11/25,1626.19,599.5
2016/11/26,1101.9,1075.81
2016/11/27,1028.244444,700.6454545
2016/11/28,1601.597561,186.9388889
2016/11/29,714,588.8666667
2016/11/30,3742.44,407.9909091
2016/12/1,2230.7,437.4833333
2016/12/2,1373.411111,679.6333333
2016/12/3,1348.627778,2175.45
2016/12/4,1472.8,668.2235294
2016/12/5,2550.96,1574.971429
2016/12/6,964.7,559.85
2016/12/7,2318.475,1175.64
2016/12/8,2430.5,950.5666667
2016/12/9,493.44,2617.22
2016/12/10,2351.7,686.6166667
2016/12/11,1611.985714,558.8666667
2016/12/12,1025.3875,1830.166667
2016/12/13,765.4142857,490.6
2016/12/14,1493.855556,1060.56
2016/12/15,452.0375,985.1
2016/12/16,359.92,921.6
2016/12/17,970.45,942.025
2016/12/18,104.1666667,996.4
2016/12/19,433.69,1089.96
2016/12/20,390.45,505.65
2016/12/21,791.3454545,1259.944444
2016/12/22,638.775,1099.25
2016/12/23,1142.5875,894.5636364
2016/12/24,336.9222222,2300.3
2016/12/25,542.1769231,643.8
2016/12/26,889.0586207,1230.1
2016/12/27,1923.933333,855.5333333
2016/12/28,832.58,3886.555556
2016/12/29,714.1454545,1232.528571
2016/12/30,935.6916667,961.4166667
2016/12/31,800.125,535.92
2017/1/1,896.78,797.4333333
2017/1/2,388.4,732.35
2017/1/3,1172.6,1069.925
2017/1/4,426.64,733.35
2017/1/5,1152.928571,896.7555556
2017/1/6,818.6,1201.966667
2017/1/7,700.475,797.48
2017/1/8,724.4,1096
2017/1/9,1224.875,2446.333333
2017/1/10,211.6,1312.033333
2017/1/11,920.9333333,815.9777778
2017/1/12,658.5222222,637.6333333
2017/1/13,593.8,1428.5
2017/1/14,421.725,778.1
2017/1/15,506.3375,627.35
2017/1/16,588.56,448.45
2017/1/17,398.5,826.3
2017/1/18,317.4,356.9
2017/1/19,275.84,412.0666667
2017/1/20,377.92,1003.7
2017/1/21,459.05,382
2017/1/22,777.85,59.7
2017/1/23,65.43333333,535.21
2017/1/24,285.45,882.625
2017/1/25,302.975,432
2017/1/26,195.85,450.64
2017/1/27,251.08,96.9
2017/1/28,0,114.5
2017/1/29,196.9,1321.35
2017/1/30,1651.566667,175.8
2017/1/31,915.45,543.4
2017/2/1,210.45,237.2
2017/2/2,625.75,336.9
2017/2/3,449.05,922.9
2017/2/4,0,116.8666667
2017/2/5,204.55,1304.4
2017/2/6,381.4666667,165.6666667
2017/2/7,228.4,684.8
2017/2/8,537.5,815.7
2017/2/9,166.4333333,330.45
2017/2/10,517.3333333,427.125
2017/2/11,591,269.24
2017/2/12,312.475,447.4428571
2017/2/13,105.7714286,239.6333333
2017/2/14,575.95,256.7666667
2017/2/15,328.6,160.025
2017/2/16,157.375,316.2333333
2017/2/17,520.225,379.3
2017/2/18,374.7769231,226.2333333
2017/2/19,557.4333333,491.05
2017/2/20,303.4714286,198.45
2017/2/21,257.8428571,346.05
2017/2/22,421.3,263.425
2017/2/23,307.54,334.7166667
2017/2/24,767.2666667,146.8
2017/2/25,56.43333333,972.7
2017/2/26,895.0833333,125.65
2017/2/27,1100.033333,227.175
2017/2/28,475.65,0
2017/3/1,261.7416667,261.475
2017/3/2,621.8090909,161.9
2017/3/3,121.3413793,495.5
2017/3/4,599.15,323.4
2017/3/5,375.775,156.4
2017/3/6,443.02,233.9
2017/3/7,661.3125,443.65
2017/3/8,188.58,55.05
2017/3/9,924.825,133
2017/3/10,379.0285714,322.85
2017/3/11,425.1428571,163.5875
2017/3/12,1248.257143,422.06
2017/3/13,470.3125,207.1875
2017/3/14,331.75,2626.6
2017/3/15,442.8909091,157.2166667
2017/3/16,515.7,198.4125
2017/3/17,181.575,195.35
2017/3/18,212.025,149.58
2017/3/19,327.5142857,69.36666667
2017/3/20,161.075,162.95
2017/3/21,456.8,297.8
2017/3/22,368.25,843.6
2017/3/23,342.9818182,145.6142857
2017/3/24,978.4692308,369.5588235
2017/3/25,723.22,411.05
2017/3/26,691.2333333,164.78
2017/3/27,81.88333333,171.3285714
2017/3/28,294.1,292.1
2017/3/29,104.9857143,198.1
2017/3/30,187.4333333,285.8
2017/3/31,339.9,476.5666667
2017/4/1,530.22,199.4909091
2017/4/2,414.8166667,261.5
2017/4/3,879.5,77.675
2017/4/4,83.3,287.9666667
2017/4/5,286.8333333,195.075
2017/4/6,619.9571429,198.8
2017/4/7,502.9,120.3
2017/4/8,179.3333333,144.4
2017/4/9,487.5,265.5666667
2017/4/10,223.48,179.48
2017/4/11,150.0333333,169.65
2017/4/12,1628.86,122.15
2017/4/13,491.15,264.3
2017/4/14,571.85,345.55
2017/4/15,327.1333333,1000.066667
2017/4/16,84.06666667,177
2017/4/17,60.95,318.7
2017/4/18,0,215.1714286
2017/4/19,439.1,171.85
2017/4/20,535.9666667,166.8
2017/4/21,664.0818182,132.85
2017/4/22,118.05,195.7
2017/4/23,0,131.44
2017/4/24,450.4,520.675
2017/4/25,347.8,220.1
2017/4/26,4493.15,43.5
2017/4/27,1306.633333,85.3
2017/4/28,353.7,1017.8
2017/4/29,93.05,81.375
2017/4/30,160.4666667,89.7
2017/5/1,868.65,314
2017/5/2,86.725,46.33333333
2017/5/3,685.6222222,350.05
2017/5/4,782.8777778,40.7
2017/5/5,775.0166667,43.3
2017/5/6,112.6,152.85
2017/5/7,207.0545455,25.8
2017/5/8,191,24
2017/5/9,188.3,95.8
2017/5/10,703.8777778,299.1666667
2017/5/11,264.5833333,118.88
2017/5/12,521.3363636,198.6
2017/5/13,165.5,143.15
2017/5/14,245.8,225.6
2017/5/15,243.6,47.9
2017/5/16,202.5333333,368.6
2017/5/17,590.14,473.0375
2017/5/18,729.55,128.06
2017/5/19,499.2166667,414.4714286
2017/5/20,990.4,207.2
2017/5/21,968.08,455.45
2017/5/22,321.3666667,227.8
2017/5/23,428.4666667,228.9333333
2017/5/24,1679.209524,851.9363636
2017/5/25,1586.258333,1954.28
2017/5/26,705.3769231,723.08
2017/5/27,798.2,615.575
2017/5/28,0,0
